'2810700228419000005';'8107002284';;'146 092,55';'503809673087'
'2701700266523000004';'7017002665';"'Оказание услуг по предоставлению канала доступа к виртуальным частным сетям (VPN) для обеспечения деятельности ОГБУЗ ""ДИБ им. Г.Е. Сибирцева""'";'114 369,60';'7707049388'
'1120000170124000050';'1200001701';'Поставка канцелярских товаров для нужд районных (городских) судов и Управления Судебного департамента в Республике Марий Эл';'250 394,74';'1215033248'
'3433500285715000002';'4335004300';;'1 446 610,76';'4345273447'
'2165901334923000068';'1659013349';"'Поставка реактивов к гематологическому анализатору Medonic M20 для ГАУЗ ""Городская поликлиника №18""'";'289 395,10';'1660350211'
'3391401321624000008';'3914013216';'Оказание услуг по комплексному техническому обслуживанию медицинской техники';'66 600,00';'3906264696'
'1245203495424000239';'2452034954';'поставка медицинских изделий';'755 513,00';'2465143478'
'1771406175624000192';'7714061756';'Поставка считывателей бесконтактных для proxi-карт для нужд ФГБУ «НМИЦ гематологии» Минздрава России';'29 675,00';'4345338750'
'3365000446324000087';'3650004463';'работы по проведению технического обследования поврежденных конструкций частного дома, расположенного по адресу: г. Воронеж, ул. Берег реки Дон, 1в';'45 000,00';'3662020886'
'3781409458624000010';'7814094586';'Оказание услуг по приобретению билетов на посещение жителями МО МО Озеро Долгое концерта в связи с празднованием Дня Победы в 2024 году';'799 850,00';'7826742993'
'2667138083424000219';'6671380834';'Поставка реагентов для ИФА - исследований';'52 614,25';'6673219679'
'2246601861724000097';'2466018617';'Монитор, подключаемый к компьютеру';'265 800,00';'241103843358'
'2231507458524000002';'2315074585';'Поставка лекарственного препарата для медицинского применения (МНН Трастузумаб Дерустекан)';'1 808 580,00';'7714511476'
'2070300779323000020';'0703007793';'Поставка СУГ для нужд ГБУЗ «ЦРБ» Майского муниципального района в 2023 году';'419 680,00';'0707008269'
'2781605558224000027';'7816055582';'Поставка эндодонтических материалов в СПб ГБУЗ «Стоматологическая поликлиника № 15» в 2024 году';'161 427,14';'7839505485'
'1740500160824000028';'7405001608';'Поставка медицинского оборудования (медицинский спирометр)';'35 223,00';'2635122083'
'1120000170124000053';'1200001701';'Поставка канцелярских товаров для нужд районных (городских) судов и Управления Судебного департамента в Республике Марий Эл';'94 116,22';'1215033248'
'3081100292224000002';'0811002922';'поставка газа';'60 000,00';'0814042970'
'3623103205723000003';'6231032057';'Оказание услуг доступа к сети Интернет для Рязанской городской Думы';'8 739,10';'6229071556'
'2773411532923000300';'7734115329';'Поставка лекарственного средства: цитарабин.';'968 007,20';'7743618382'
'2770326162624000016';'7703261626';'Поставка бланков документов об основном общем и среднем общем образовании для нужд образовательных организаций, подведомственных Департаменту образования и науки города Москвы (совместная закупка)';'124 868,44';'7718779192'
'2540413585224000041';'5404135852';'Поставка контрольных сывороток и промывающих растворов для биохимического анализатора  VitaRay 300. имеющегося у Заказчика';'122 278,24';'5404250100'
'2667138083424000217';'6671380834';'поставка манометров и термометров';'37 572,04';'121531184723'
'2246601861724000098';'2466018617';'Мышь компьютерная';'11 399,04';'241103843358'
'2770933044224000015';'7709330442';'Поставка компьютерной и копировально-множительной техники (принтеры, сканеры для ППЭ)';'414 545,00';'7720855933'
'3433500094815000001';'4335004300';;'57 600,00';'7707049388'
'2773411532923000301';'7734115329';'Поставка лекарственного средства: леналидомид.';'1 480 525,20';'5032296920'
'3027001604024000001';'0270016040';'Подготовка и содержание площадки складирования снега на территории городского поселения город Учалы муниципального района Учалинский район Республики Башкортостан';'657 349,18';'0270007751'
'1550104020424000009';'5501040204';'Поставка дверных блоков стальных в рамках капитального ремонта';'79 800,00';'551201639147'
'2772335616024000053';'7723356160';"'Услуги по обучению, а именно: услуги по реализации ПОБГ по предмету ""Производственная практика"", проекта ""Профессиональное обучение без границ"""" по профессии """"Оператор беспилотных авиационных систем (с максимальной взлетной массой 30 килограммов и менее)""'";'42 000,00';'772879489097'
'3502803227324000010';'5028032273';'Поставка мебели : Поставка офисных кресел';'48 800,00';'4632244104'
'3690000385524000005';'6900003855';'Теплоснабжение';'153 962,53';'6950192661'
'2542612444524000005';'5426124445';'Поставка бумаги для офисной техники';'19 007,82';'5402042095'
'2781605558224000028';'7816055582';'Поставка пломбировочных материалов в СПб ГБУЗ «Стоматологическая поликлиника № 15» в 2024 году';'325 533,70';'7839505485'
'2482503727023000076';'4825037270';'Охранные услуги';'1 805 678,78';'7719555477'
'2780113557024000051';'7801135570';'Поставка продуктовых наборов';'2 999 167,29';'7814455521'
'3054501904924000001';'0545019049';'Бумага для печати';'32 710,70';'056001127490'
'2773411532923000239';'7734115329';"'Поставка реагентов для коагулометров ACL TOP производства ""Инструментэйшн Лаборатори С.П.А."",  лот 1.'";'1 411 832,23';'9705156959'
'1504013620824000008';'5040136208';'Поставка лицензий на операционную систему «Astra Linux Special Edition»';'2 171 400,00';'7736262417'
'2243300102223000158';'2433001022';'ЭА-№-15677/23 «РОПИВАКАИН,РАСТВОР 5 мг/мл»';'7 493,50';'2636801680'
'3690000385524000004';'6900003855';'теплоснабжение';'108 043,01';'6950192661'
'2773411532923000205';'7734115329';'Поставка расходного материала и реагентов для тромбоэластометра ROTEM delta.';'229 348,70';'9705156959'
'2382001196819000025';'3820011968';;'125 365,54';'3812079585'
